BAZAR,11969
BLUSA,11748
COLECAO,7848
VESTIDOS,4016
LANCAMENTO,3550
CURTO,2167
SAIAS,466
AGASALHO,452
SHORT,363
CAL�AS,270
OUTROS,245
CALCINHA,198
DIVERSOS,105
TOP,98
MACAC�O,81
CHINELO,74
LONGO,65
SAPATOS,44
CROPPED,38
BIQUINI,37
BRINCO,27
MIDI,26
CAMISA,11
COLAR,9
MAIO,8
UNDERWEAR,8
CANGA,5
SOUTIEN,4
ESPECIAL,4
MANGA CURTA,3
MANGA LONGA,3
PULSEIRA,2
FANTASIA,1
BOLSAS,1
BERMUDA,1
